f
1901    34
1902    39
1903    32
1904    25
1905    25
1906    25
1907    33
1908    45
1909    25
1910    38
1911    34
1912    31
1913    36
1914    22
1915    50
1916    31
1917    18
1918    29
1919    27
1920    33
1921    41
1922    38
1923    64
1924    38
1925    39
1926    43
1927    47
1928    53
1929    57
1930    55
1931    46
1932    63
1933    43
1934    40
1935    43
1936    44
1937    55
1938    41
1939    41
1940    46
1941    43
1942    41
1943    26
1944    33
1945    24
1946    36
1947    51
1948    32
1949    42
1950    28
1951    36
1952    24
1953    31
1954    24
1955    32
1956    16
1957    30
1958    21
1959    18
1960     8
1961    14
1962    16
1963    13
1964    15
1965    15
1966    13
1967    14
1968    11
1969     6
1970     2
1971     3
1972     7
1973     9
1974     2
1975     2
1976     1
1977     6
1978     5
1979     5
1980     8
1981     3
1982     4
1983     1
1986     1
