person,personLabel,value,valueLabel,Born,Pa
http://www.wikidata.org/entity/Q66339,Bernhard von Langenbeck,http://www.wikidata.org/entity/Q121594,Professor,1810-11-09T00:00:00Z,http://www.wikidata.org/entity/Q55854419
http://www.wikidata.org/entity/Q21209850,Q21209850,http://www.wikidata.org/entity/Q121594,Professor,1932-02-18T00:00:00Z,http://www.wikidata.org/entity/Q13054122
http://www.wikidata.org/entity/Q20510643,Vilen Azatian,http://www.wikidata.org/entity/Q121594,Professor,1931-03-24T00:00:00Z,http://www.wikidata.org/entity/Q21212949
http://www.wikidata.org/entity/Q1039689,Carl Martin Reinthaler,http://www.wikidata.org/entity/Q121594,Professor,1822-10-13T00:00:00Z,http://www.wikidata.org/entity/Q94765142
http://www.wikidata.org/entity/Q12857453,Josef Jerie,http://www.wikidata.org/entity/Q121594,Professor,1871-04-20T00:00:00Z,http://www.wikidata.org/entity/Q106310967
http://www.wikidata.org/entity/Q86471,Fritz von Wettstein,http://www.wikidata.org/entity/Q121594,Professor,1895-06-24T00:00:00Z,http://www.wikidata.org/entity/Q78599
http://www.wikidata.org/entity/Q4160798,Felix Dserschinski,http://www.wikidata.org/entity/Q2065,1993,1937-08-28T00:00:00Z,http://www.wikidata.org/entity/Q18091067
http://www.wikidata.org/entity/Q12409789,Nurit Govrin,http://www.wikidata.org/entity/Q121594,Professor,1935-11-05T00:00:00Z,http://www.wikidata.org/entity/Q12408397
http://www.wikidata.org/entity/Q27002639,Levon Bashinjaghyan,http://www.wikidata.org/entity/Q121594,Professor,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q2064083
http://www.wikidata.org/entity/Q12048486,Radegast Parolek,http://www.wikidata.org/entity/Q121594,Professor,1920-12-01T00:00:00Z,http://www.wikidata.org/entity/Q51693512
http://www.wikidata.org/entity/Q12025899,Josef Bohumil Souček,http://www.wikidata.org/entity/Q121594,Professor,1902-05-12T00:00:00Z,http://www.wikidata.org/entity/Q12026617
http://www.wikidata.org/entity/Q18633597,Jukka Siren,http://www.wikidata.org/entity/Q42973,Architekt,1950-03-09T00:00:00Z,http://www.wikidata.org/entity/Q3129431
http://www.wikidata.org/entity/Q20512442,Ruben Hambardsumjan,http://www.wikidata.org/entity/Q121594,Professor,1941-10-28T00:00:00Z,http://www.wikidata.org/entity/Q164396
http://www.wikidata.org/entity/Q720704,Georg von Rosen,http://www.wikidata.org/entity/Q121594,Professor,1843-02-13T00:00:00Z,http://www.wikidata.org/entity/Q6079080
http://www.wikidata.org/entity/Q12276451,Georgi Slatarski,http://www.wikidata.org/entity/Q121594,Professor,1854-01-25T00:00:00Z,http://www.wikidata.org/entity/Q12288398
http://www.wikidata.org/entity/Q12044794,Petr Arenberger,http://www.wikidata.org/entity/Q121594,Professor,1958-12-04T00:00:00Z,http://www.wikidata.org/entity/Q106812171
http://www.wikidata.org/entity/Q11858382,Erkki Pakkala,http://www.wikidata.org/entity/Q42973,Architekt,1899-04-27T00:00:00Z,http://www.wikidata.org/entity/Q1347723
http://www.wikidata.org/entity/Q20511435,Q20511435,http://www.wikidata.org/entity/Q121594,Professor,1938-06-26T00:00:00Z,http://www.wikidata.org/entity/Q4519313
http://www.wikidata.org/entity/Q15124051,Josef Arnošt Ryba,http://www.wikidata.org/entity/Q121594,Professor,1795-03-22T00:00:00Z,http://www.wikidata.org/entity/Q727629
http://www.wikidata.org/entity/Q15124051,Josef Arnošt Ryba,http://www.wikidata.org/entity/Q121594,Professor,1795-03-21T00:00:00Z,http://www.wikidata.org/entity/Q727629
http://www.wikidata.org/entity/Q98154,Oscar Fraas,http://www.wikidata.org/entity/Q121594,Professor,1824-01-17T00:00:00Z,http://www.wikidata.org/entity/Q55849990
http://www.wikidata.org/entity/Q12278713,Dimitar Jaranow,http://www.wikidata.org/entity/Q121594,Professor,1909-10-21T00:00:00Z,http://www.wikidata.org/entity/Q12272698
