person,personLabel,value,valueLabel,Born,Mom
http://www.wikidata.org/entity/Q48424162,Yoni Rainey,http://www.wikidata.org/entity/Q183816,Master,1983-04-16T00:00:00Z,http://www.wikidata.org/entity/Q19799594
http://www.wikidata.org/entity/Q106522887,Władysław Tomaszewicz,http://www.wikidata.org/entity/Q308678,Habilitation,1944-06-12T00:00:00Z,http://www.wikidata.org/entity/Q106522142
http://www.wikidata.org/entity/Q22665472,Q22665472,http://www.wikidata.org/entity/Q121594,Professor,1956-04-09T00:00:00Z,http://www.wikidata.org/entity/Q22665486
http://www.wikidata.org/entity/Q6775684,Martin Hilský,http://www.wikidata.org/entity/Q121594,Professor,1943-04-08T00:00:00Z,http://www.wikidata.org/entity/Q11913955
http://www.wikidata.org/entity/Q76516,Richard Avenarius,http://www.wikidata.org/entity/Q121594,Professor,1843-11-19T00:00:00Z,http://www.wikidata.org/entity/Q94770082
http://www.wikidata.org/entity/Q12290597,Petar Stoyanovich,http://www.wikidata.org/entity/Q121594,Professor,1967-06-25T00:00:00Z,http://www.wikidata.org/entity/Q12272048
http://www.wikidata.org/entity/Q3174523,Jean Salem,http://www.wikidata.org/entity/Q308678,Habilitation,1952-11-16T00:00:00Z,http://www.wikidata.org/entity/Q47356321
http://www.wikidata.org/entity/Q4944209,Sara Danius,http://www.wikidata.org/entity/Q121594,Professor,1962-04-05T00:00:00Z,http://www.wikidata.org/entity/Q563544
http://www.wikidata.org/entity/Q289590,Susanne Klatten,http://www.wikidata.org/entity/Q191701,Master of Business Administration,1962-04-28T00:00:00Z,http://www.wikidata.org/entity/Q75882
http://www.wikidata.org/entity/Q15935,Kanye West,http://www.wikidata.org/entity/Q209896,Honoris causa,1977-06-08T00:00:00Z,http://www.wikidata.org/entity/Q60633179
http://www.wikidata.org/entity/Q77116964,Lucio Luiz,http://www.wikidata.org/entity/Q183816,Master,1978-07-14T00:00:00Z,http://www.wikidata.org/entity/Q108572974
http://www.wikidata.org/entity/Q76351346,Piotr Biłos,http://www.wikidata.org/entity/Q308678,Habilitation,1977-01-01T00:00:00Z,http://www.wikidata.org/entity/Q76392288
http://www.wikidata.org/entity/Q434706,Elizabeth Warren,http://www.wikidata.org/entity/Q163727,Bachelor,1949-06-22T00:00:00Z,http://www.wikidata.org/entity/Q107292596
http://www.wikidata.org/entity/Q76556,Richard Dedekind,http://www.wikidata.org/entity/Q308678,Habilitation,1831-10-06T00:00:00Z,http://www.wikidata.org/entity/Q15726627
http://www.wikidata.org/entity/Q98344086,José Azuaje-Fidalgo,http://www.wikidata.org/entity/Q183816,Master,1985-01-07T00:00:00Z,http://www.wikidata.org/entity/Q103734582
http://www.wikidata.org/entity/Q9047,Gottfried Wilhelm Leibniz,http://www.wikidata.org/entity/Q308678,Habilitation,1646-07-01T00:00:00Z,http://www.wikidata.org/entity/Q27156694
http://www.wikidata.org/entity/Q42594329,Amy Jadesimi,http://www.wikidata.org/entity/Q191701,Master of Business Administration,1976-01-01T00:00:00Z,http://www.wikidata.org/entity/Q89488379
http://www.wikidata.org/entity/Q583341,François Dosse,http://www.wikidata.org/entity/Q308678,Habilitation,1950-09-22T00:00:00Z,http://www.wikidata.org/entity/Q27063016
http://www.wikidata.org/entity/Q1063371,Karel Absolon,http://www.wikidata.org/entity/Q121594,Professor,1877-06-16T00:00:00Z,http://www.wikidata.org/entity/Q12028704
http://www.wikidata.org/entity/Q6185534,Jerzy Szacki,http://www.wikidata.org/entity/Q121594,Professor,1929-02-06T00:00:00Z,http://www.wikidata.org/entity/Q84432217
