person,value,valueLabel,Born,Child
http://www.wikidata.org/entity/Q165421,http://www.wikidata.org/entity/Q11030,Journalismus,1929-07-28T00:00:00Z,http://www.wikidata.org/entity/Q230303
http://www.wikidata.org/entity/Q165421,http://www.wikidata.org/entity/Q11030,Journalismus,1929-07-28T00:00:00Z,http://www.wikidata.org/entity/Q316064
http://www.wikidata.org/entity/Q165421,http://www.wikidata.org/entity/Q11030,Journalismus,1929-07-28T00:00:00Z,http://www.wikidata.org/entity/Q3290402
http://www.wikidata.org/entity/Q21339404,http://www.wikidata.org/entity/Q1986,2003,1977-01-18T00:00:00Z,
http://www.wikidata.org/entity/Q165421,http://www.wikidata.org/entity/Q11030,Journalismus,1929-07-28T00:00:00Z,http://www.wikidata.org/entity/Q75326753
http://www.wikidata.org/entity/Q56759969,http://www.wikidata.org/entity/Q23404,Anthropologie,1979-03-12T00:00:00Z,
http://www.wikidata.org/entity/Q99767894,http://www.wikidata.org/entity/Q2019,2005,1963-12-04T00:00:00Z,
http://www.wikidata.org/entity/Q50437943,http://www.wikidata.org/entity/Q413,Physik,1972-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q10290183,http://www.wikidata.org/entity/Q27349,Zahnarzt,1958-11-30T00:00:00Z,
http://www.wikidata.org/entity/Q4317546,http://www.wikidata.org/entity/Q2479,1975,1938-10-02T00:00:00Z,
http://www.wikidata.org/entity/Q55038248,http://www.wikidata.org/entity/Q5263,1947,1912-03-06T00:00:00Z,http://www.wikidata.org/entity/Q15088169
http://www.wikidata.org/entity/Q55038248,http://www.wikidata.org/entity/Q5263,1947,1912-02-22T00:00:00Z,http://www.wikidata.org/entity/Q15088169
http://www.wikidata.org/entity/Q4160798,http://www.wikidata.org/entity/Q2065,1993,1937-08-28T00:00:00Z,
http://www.wikidata.org/entity/Q5920394,http://www.wikidata.org/entity/Q21201,Soziologie,1972-04-30T00:00:00Z,
http://www.wikidata.org/entity/Q365628,http://www.wikidata.org/entity/Q18658,1935,1903-12-10T00:00:00Z,
http://www.wikidata.org/entity/Q95726655,http://www.wikidata.org/entity/Q7168,Histologie,1928-10-29T00:00:00Z,
http://www.wikidata.org/entity/Q16302728,http://www.wikidata.org/entity/Q9512,None,1981-07-18T00:00:00Z,
